Comunidades autónomas;Sectores de actividad;Sexo;Periodo;Total
Total Nacional;Todos los sectores;Ambos sexos;2022;26.948,87
Total Nacional;Todos los sectores;Ambos sexos;2021;25.896,82
Total Nacional;Todos los sectores;Ambos sexos;2020;25.165,51
Total Nacional;Todos los sectores;Ambos sexos;2019;24.395,98
Total Nacional;Todos los sectores;Ambos sexos;2018;24.009,12
Total Nacional;Todos los sectores;Ambos sexos;2017;23.646,5
Total Nacional;Todos los sectores;Ambos sexos;2016;23.156,34
Total Nacional;Todos los sectores;Ambos sexos;2015;23.106,3
Total Nacional;Todos los sectores;Ambos sexos;2014;22.858,17
Total Nacional;Todos los sectores;Ambos sexos;2013;22.697,86
Total Nacional;Todos los sectores;Ambos sexos;2012;22.726,44
Total Nacional;Todos los sectores;Ambos sexos;2011;22.899,35
Total Nacional;Todos los sectores;Ambos sexos;2010;22.790,2
Total Nacional;Todos los sectores;Ambos sexos;2009;22.511,47
Total Nacional;Todos los sectores;Ambos sexos;2008;21.883,42
Total Nacional;Todos los sectores;Mujeres;2022;24.359,82
Total Nacional;Todos los sectores;Mujeres;2021;23.175,95
Total Nacional;Todos los sectores;Mujeres;2020;22.467,48
Total Nacional;Todos los sectores;Mujeres;2019;21.682,02
Total Nacional;Todos los sectores;Mujeres;2018;21.011,89
Total Nacional;Todos los sectores;Mujeres;2017;20.607,85
Total Nacional;Todos los sectores;Mujeres;2016;20.131,41
Total Nacional;Todos los sectores;Mujeres;2015;20.051,58
Total Nacional;Todos los sectores;Mujeres;2014;19.744,82
Total Nacional;Todos los sectores;Mujeres;2013;19.514,58
Total Nacional;Todos los sectores;Mujeres;2012;19.537,33
Total Nacional;Todos los sectores;Mujeres;2011;19.767,59
Total Nacional;Todos los sectores;Mujeres;2010;19.735,22
Total Nacional;Todos los sectores;Mujeres;2009;19.502,02
Total Nacional;Todos los sectores;Mujeres;2008;18.910,62
Total Nacional;Todos los sectores;Hombres;2022;29.381,84
Total Nacional;Todos los sectores;Hombres;2021;28.388,69
Total Nacional;Todos los sectores;Hombres;2020;27.642,52
Total Nacional;Todos los sectores;Hombres;2019;26.934,38
Total Nacional;Todos los sectores;Hombres;2018;26.738,19
Total Nacional;Todos los sectores;Hombres;2017;26.391,84
Total Nacional;Todos los sectores;Hombres;2016;25.924,43
Total Nacional;Todos los sectores;Hombres;2015;25.992,76
Total Nacional;Todos los sectores;Hombres;2014;25.727,24
Total Nacional;Todos los sectores;Hombres;2013;25.675,17
Total Nacional;Todos los sectores;Hombres;2012;25.682,05
Total Nacional;Todos los sectores;Hombres;2011;25.667,89
Total Nacional;Todos los sectores;Hombres;2010;25.479,74
Total Nacional;Todos los sectores;Hombres;2009;25.001,05
Total Nacional;Todos los sectores;Hombres;2008;24.203,33
Total Nacional;Industria;Ambos sexos;2022;30.519,48
Total Nacional;Industria;Ambos sexos;2021;29.104,18
Total Nacional;Industria;Ambos sexos;2020;28.374,65
Total Nacional;Industria;Ambos sexos;2019;28.074,42
Total Nacional;Industria;Ambos sexos;2018;28.096,62
Total Nacional;Industria;Ambos sexos;2017;27.708,41
Total Nacional;Industria;Ambos sexos;2016;27.198,31
Total Nacional;Industria;Ambos sexos;2015;27.103,53
Total Nacional;Industria;Ambos sexos;2014;26.997,4
Total Nacional;Industria;Ambos sexos;2013;26.639,19
Total Nacional;Industria;Ambos sexos;2012;26.122,44
Total Nacional;Industria;Ambos sexos;2011;25.871,95
Total Nacional;Industria;Ambos sexos;2010;25.376,58
Total Nacional;Industria;Ambos sexos;2009;24.453,06
Total Nacional;Industria;Ambos sexos;2008;24.035,91
Total Nacional;Industria;Mujeres;2022;26.556,93
Total Nacional;Industria;Mujeres;2021;25.047,37
Total Nacional;Industria;Mujeres;2020;24.312,16
Total Nacional;Industria;Mujeres;2019;23.829,62
Total Nacional;Industria;Mujeres;2018;23.602,06
Total Nacional;Industria;Mujeres;2017;23.356,56
Total Nacional;Industria;Mujeres;2016;22.761,15
Total Nacional;Industria;Mujeres;2015;22.490,62
Total Nacional;Industria;Mujeres;2014;22.412,77
Total Nacional;Industria;Mujeres;2013;21.985,7
Total Nacional;Industria;Mujeres;2012;21.445,69
Total Nacional;Industria;Mujeres;2011;21.067,11
Total Nacional;Industria;Mujeres;2010;20.926,07
Total Nacional;Industria;Mujeres;2009;20.027,57
Total Nacional;Industria;Mujeres;2008;19.343,4
Total Nacional;Industria;Hombres;2022;31.977,8
Total Nacional;Industria;Hombres;2021;30.550,23
Total Nacional;Industria;Hombres;2020;29.815,59
Total Nacional;Industria;Hombres;2019;29.601,31
Total Nacional;Industria;Hombres;2018;29.678,43
Total Nacional;Industria;Hombres;2017;29.180,31
Total Nacional;Industria;Hombres;2016;28.710,71
Total Nacional;Industria;Hombres;2015;28.663,97
Total Nacional;Industria;Hombres;2014;28.558,83
Total Nacional;Industria;Hombres;2013;28.225,59
Total Nacional;Industria;Hombres;2012;27.709,02
Total Nacional;Industria;Hombres;2011;27.484,12
Total Nacional;Industria;Hombres;2010;26.871,48
Total Nacional;Industria;Hombres;2009;25.915,33
Total Nacional;Industria;Hombres;2008;25.652,41
Total Nacional;Construcción;Ambos sexos;2022;25.149,41
Total Nacional;Construcción;Ambos sexos;2021;24.136,94
Total Nacional;Construcción;Ambos sexos;2020;23.104,64
Total Nacional;Construcción;Ambos sexos;2019;22.789,3
Total Nacional;Construcción;Ambos sexos;2018;22.971,05
Total Nacional;Construcción;Ambos sexos;2017;22.607,96
Total Nacional;Construcción;Ambos sexos;2016;22.163,46
Total Nacional;Construcción;Ambos sexos;2015;22.660,82
Total Nacional;Construcción;Ambos sexos;2014;22.608,41
Total Nacional;Construcción;Ambos sexos;2013;22.720,53
Total Nacional;Construcción;Ambos sexos;2012;22.686,24
Total Nacional;Construcción;Ambos sexos;2011;22.541
Total Nacional;Construcción;Ambos sexos;2010;21.962,13
Total Nacional;Construcción;Ambos sexos;2009;21.774,7
Total Nacional;Construcción;Ambos sexos;2008;20.706,74
Total Nacional;Construcción;Mujeres;2022;26.258,91
Total Nacional;Construcción;Mujeres;2021;22.640,24
Total Nacional;Construcción;Mujeres;2020;21.188
Total Nacional;Construcción;Mujeres;2019;21.388,78
Total Nacional;Construcción;Mujeres;2018;21.919
Total Nacional;Construcción;Mujeres;2017;20.588,67
Total Nacional;Construcción;Mujeres;2016;20.361,67
Total Nacional;Construcción;Mujeres;2015;20.060,54
Total Nacional;Construcción;Mujeres;2014;21.483,17
Total Nacional;Construcción;Mujeres;2013;20.636,21
Total Nacional;Construcción;Mujeres;2012;21.441,66
Total Nacional;Construcción;Mujeres;2011;21.029,69
Total Nacional;Construcción;Mujeres;2010;20.189,84
Total Nacional;Construcción;Mujeres;2009;20.011,47
Total Nacional;Construcción;Mujeres;2008;19.873,24
Total Nacional;Construcción;Hombres;2022;25.001,32
Total Nacional;Construcción;Hombres;2021;24.361,97
Total Nacional;Construcción;Hombres;2020;23.402,34
Total Nacional;Construcción;Hombres;2019;22.997,41
Total Nacional;Construcción;Hombres;2018;23.118,32
Total Nacional;Construcción;Hombres;2017;22.927,3
Total Nacional;Construcción;Hombres;2016;22.460,86
Total Nacional;Construcción;Hombres;2015;23.113,93
Total Nacional;Construcción;Hombres;2014;22.783
Total Nacional;Construcción;Hombres;2013;23.067,15
Total Nacional;Construcción;Hombres;2012;22.910,95
Total Nacional;Construcción;Hombres;2011;22.783,96
Total Nacional;Construcción;Hombres;2010;22.239,83
Total Nacional;Construcción;Hombres;2009;22.067,19
Total Nacional;Construcción;Hombres;2008;20.844,73
Total Nacional;Servicios;Ambos sexos;2022;26.451,75
Total Nacional;Servicios;Ambos sexos;2021;25.448,75
Total Nacional;Servicios;Ambos sexos;2020;24.730,72
Total Nacional;Servicios;Ambos sexos;2019;23.844,92
Total Nacional;Servicios;Ambos sexos;2018;23.325,64
Total Nacional;Servicios;Ambos sexos;2017;22.944,12
Total Nacional;Servicios;Ambos sexos;2016;22.440,32
Total Nacional;Servicios;Ambos sexos;2015;22.367,4
Total Nacional;Servicios;Ambos sexos;2014;22.077,07
Total Nacional;Servicios;Ambos sexos;2013;21.920,19
Total Nacional;Servicios;Ambos sexos;2012;22.039,6
Total Nacional;Servicios;Ambos sexos;2011;22.314,79
Total Nacional;Servicios;Ambos sexos;2010;22.331,91
Total Nacional;Servicios;Ambos sexos;2009;22.170,97
Total Nacional;Servicios;Ambos sexos;2008;21.556,69
Total Nacional;Servicios;Mujeres;2022;24.135,83
